 

stn    time           nto002d0  tre200d0  hns000d0  rre150d0  tre200dx
CHU    19390508              0       7.1         0       6.1         -
CHU    19390509              0       7.6         0       6.8         -
CHU    19390510              0      11.0         0       0.2         -
CHU    19390511              0      11.1         0       0.5         -
CHU    19390512              0       7.4         0      11.2         -
CHU    19390513              0       8.5         0       2.4         -
CHU    19390514              0       5.6         0      14.8         -
CHU    19390515              0      10.4         0       4.0         -
CHU    19390516              0       7.9         0      14.0         -
CHU    19390517              0       7.9         0       4.2         -
CHU    19390518              0      11.5         0       6.0         -
CHU    19390519              0       9.8         0       0.0         -
CHU    19390520              0      10.8         0       5.0         -
CHU    19390521              0       7.7         0       5.0         -
CHU    19390522              0       9.5         0       1.0         -
CHU    19390523              0      10.2         0       0.2         -
CHU    19390524              0      13.6         0       0.0         -
CHU    19390525              0       8.3         0       1.5         -
CHU    19390526              0      11.5         0       0.0         -
CHU    19390527              0      14.3         0       0.0         -
CHU    19390528              0      12.6         0      17.0         -
CHU    19390529              0       9.4         0       0.3         -
CHU    19390530              0      12.0         0       0.0         -
CHU    19390531              0      11.4         0       6.6         -
CHU    19390601              0      14.4         0       0.0         -
CHU    19390602              0      17.0         0       0.0         -
CHU    19390603              0      18.3         0       0.0         -
CHU    19390604              1      19.6         0       0.0         -
CHU    19390605              1      19.3         0       0.0         -
CHU    19390606              1      20.7         0       0.0         -
CHU    19390607              0      20.9         0       0.0         -
CHU    19390608              1      21.1         0       0.0         -
CHU    19390609              0      19.5         0       0.0         -
CHU    19390610              0      19.1         0       0.1         -
CHU    19390611              0      16.9         0       0.3         -
CHU    19390612              0      10.6         0      28.5         -
CHU    19390613              0       8.6         0       2.4         -
CHU    19390614              0       9.2         0       0.1         -
CHU    19390615              0      11.8         0       0.0         -
CHU    19390616              0      17.0         0       0.1         -
CHU    19390617              0      13.5         0       4.5         -
CHU    19390618              0      12.5         0       2.5         -
CHU    19390619              0      15.8         0       0.2         -
CHU    19390620              0      13.8         0       3.8         -
CHU    19390621              0      17.4         0       0.0         -
CHU    19390622              0      19.2         0       0.0         -
CHU    19390623              0      20.5         0       0.1         -
CHU    19390624              0      16.3         0      11.8         -
CHU    19390625              0      15.8         0       0.5         -
CHU    19390626              0      14.9         0      11.9         -
CHU    19390627              0      14.6         0       0.0         -
CHU    19390628              1      17.2         0       0.0         -
CHU    19390629              1      20.9         0       0.0         -
CHU    19390630              0      20.8         0      14.0         -
CHU    19390701              0      13.8         0      34.8         -
CHU    19390702              0      11.8         0       0.0         -
CHU    19390703              0      15.1         0       0.0         -
CHU    19390704              1      18.9         0       0.0         -
CHU    19390705              0      20.6         0       0.0         -
CHU    19390706              0      17.7         0       6.5         -
CHU    19390707              0      18.6         0       0.0         -
CHU    19390708              1      21.0         0       0.0         -
CHU    19390709              0      20.5         0       3.2         -
CHU    19390710              0      16.4         0       1.4         -
CHU    19390711              0      16.0         0       0.0         -
CHU    19390712              0      17.3         0       0.0         -
CHU    19390713              0      18.4         0       8.2         -
CHU    19390714              0      19.0         0       2.0         -
CHU    19390715              0      16.5         0      14.0         -
CHU    19390716              0      13.4         0      23.8         -
CHU    19390717              0      15.8         0       0.0         -
CHU    19390718              0      18.7         0       0.0         -
CHU    19390719              0      20.5         0       0.0         -
CHU    19390720              0      18.9         0       0.0         -
CHU    19390721              0      18.9         0       9.8         -
CHU    19390722              0      12.9         0      34.3         -
CHU    19390723              0      14.5         0       0.0         -
CHU    19390724              0      13.1         0       8.8         -
CHU    19390725              0       9.2         0       5.5         -
CHU    19390726              0      12.9         0       5.4         -
CHU    19390727              0      11.8         0       1.0         -
CHU    19390728              1      15.3         0       0.0         -
CHU    19390729              1      18.1         0       0.0         -
CHU    19390730              1      21.5         0       0.0         -
CHU    19390731              0      20.1         0       0.0         -
CHU    19390801              0      19.8         0       0.0         -
CHU    19390802              0      19.0         0       0.0         -
CHU    19390803              0      17.3         0      16.8         -
CHU    19390804              0      14.9         0      26.0         -
CHU    19390805              0      15.1         0      21.0         -
CHU    19390806              0      12.7         0       9.2         -
CHU    19390807              0      15.1         0       0.2         -
CHU    19390808              0      15.5         0       3.7         -
CHU    19390809              0      16.5         0       0.0         -
CHU    19390810              1      17.2         0       0.0         -
CHU    19390811              0      19.7         0       1.5         -
CHU    19390812              0      21.0         0       0.0         -
CHU    19390813              0      18.8         0       0.0         -
CHU    19390814              0      19.0         0       0.0         -
CHU    19390815              0      16.1         0       0.0         -
CHU    19390816              0      16.5         0       0.0         -
CHU    19390817              0      16.6         0       0.0         -
CHU    19390818              1      18.2         0       0.0         -
CHU    19390819              0      18.6         0       0.0         -
CHU    19390820              0      17.3         0       0.4         -
CHU    19390821              0      18.5         0       1.4         -
CHU    19390822              0      17.6         0       0.7         -
CHU    19390823              0      18.5         0       0.0         -
CHU    19390824              0      17.6         0       0.2         -
CHU    19390825              0      17.8         0       3.2         -
CHU    19390826              0      17.3         0       0.0         -
CHU    19390827              0      19.0         0       0.0         -
CHU    19390828              0      17.3         0       0.0         -
CHU    19390829              0      17.7         0       0.0         -
CHU    19390830              0      19.5         0       0.9         -
CHU    19390831              0      19.0         0       0.1         -
CHU    19390901              0      19.1         0       0.0         -
CHU    19390902              0      18.5         0       0.0         -
CHU    19390903              0      19.4         0       0.0         -
CHU    19390904              0      16.2         0      36.0         -
CHU    19390905              0      14.0         0       3.6         -
CHU    19390906              0      17.0         0       0.0         -
CHU    19390907              0      17.6         0       0.0         -
CHU    19390908              1      18.0         0       0.0         -
CHU    19390909              0      17.4         0       0.0         -
CHU    19390910              1      17.3         0       0.0         -
CHU    19390911              1      18.0         0       0.0         -
CHU    19390912              0      14.4         0      15.0         -
CHU    19390913              0      12.0         0       3.1         -
CHU    19390914              0      14.3         0       2.1         -
CHU    19390915              0      10.4         0       4.4         -
CHU    19390916              0      11.5         0       2.0         -
CHU    19390917              0      12.1         0       0.0         -
CHU    19390918              0      11.9         0       2.5         -
CHU    19390919              0      12.1         0       0.0         -
CHU    19390920              0      12.2         0       0.9         -
CHU    19390921              0      11.6         0       0.1         -
CHU    19390922              0      11.7         0       0.0         -
CHU    19390923              0      12.3         0       0.0         -
CHU    19390924              0      11.7         0       0.0         -
CHU    19390925              0      10.3         0       0.0         -
CHU    19390926              1       9.2         0       0.0         -
CHU    19390927              0       8.6         0       0.3         -
CHU    19390928              0       7.2         0       0.0         -
CHU    19390929              1       8.3         0       0.0         -
CHU    19390930              1      10.0         0       0.0         -
CHU    19391001              0      11.9         0       0.0         -
CHU    19391002              0      12.1         0       0.6         -
CHU    19391003              0       9.9         0       2.4         -
CHU    19391004              0      10.6         0       0.0         -
CHU    19391005              0       9.6         0      16.2         -
CHU    19391006              0       8.6         0      15.1         -
CHU    19391007              0       7.5         0       1.3         -
CHU    19391008              0       6.2         0       0.0         -
CHU    19391009              0       8.3         0       4.8         -
CHU    19391010              0       9.7         0       4.8         -
CHU    19391011              0       9.1         0       0.0         -
CHU    19391012              0      11.0         0       0.5         -
CHU    19391013              0      13.1         0       0.0         -
CHU    19391014              0      15.4         0       0.0         -
CHU    19391015              0      18.4         0       4.0         -
CHU    19391016              0      12.2         0       3.5         -
CHU    19391017              0      15.9         0       0.1         -
CHU    19391018              0      19.7         0      12.2         -
CHU    19391019              0      12.6         0      23.4         -
CHU    19391020              0       9.3         0       1.3         -
CHU    19391021              0       5.6         0       0.0         -
CHU    19391022              0       4.8         0       2.6         -
CHU    19391023              0       4.0         0       0.3         -
CHU    19391024              0       5.7         0       0.0         -
CHU    19391025              0       5.6         0       6.1         -
CHU    19391026              0       1.2         0       0.1         -
CHU    19391027              0       0.1         3       3.0         -
CHU    19391028              0       0.6         0       0.0         -
CHU    19391029              0       2.0         0       0.0         -
CHU    19391030              0       3.0         0       0.0         -
CHU    19391031              0       4.8         0       0.0         -
CHU    19391101              0       3.5         0       0.0         -
CHU    19391102              0       5.0         0       0.0         -
CHU    19391103              0       8.6         0       0.0         -
CHU    19391104              0      10.4         0      13.3         -
CHU    19391105              0       4.3         0       6.7         -
CHU    19391106              0       9.1         0       0.1         -
CHU    19391107              1      10.5         0       0.0         -
CHU    19391108              1      12.5         0       0.0         -
CHU    19391109              0      11.8         0       0.0         -
CHU    19391110              0      11.7         0       0.0         -
CHU    19391111              0      12.7         0       0.0         -
CHU    19391112              0       9.1         0       0.0         -
CHU    19391113              1       6.4         0       0.0         -
CHU    19391114              0       5.4         0       0.0         -
CHU    19391115              0       6.6         0       3.2         -
CHU    19391116              0       6.8         0      20.2         -
CHU    19391117              0       5.4         0      61.3         -
CHU    19391118              0       6.8         0      10.4         -
CHU    19391119              0       6.7         0      10.0         -
CHU    19391120              0       3.6         0       4.4         -
CHU    19391121              0      -0.4         0       0.0         -
CHU    19391122              0      -2.0         0       0.0         -
CHU    19391123              1      -3.0         0       0.0         -
CHU    19391124              0      -0.2         0       0.0         -
CHU    19391125              0       0.8         0       0.4         -
CHU    19391126              0       3.0         0       6.0         -
CHU    19391127              0       4.6         0       2.6         -
CHU    19391128              0       4.3         0       0.3         -
CHU    19391129              0       4.2         0       4.2         -
CHU    19391130              0       7.6         0       0.0         -
CHU    19391201              0       5.4         0       0.0         -
CHU    19391202              0       5.3         0       1.0         -
CHU    19391203              0       2.5         0       0.0         -
CHU    19391204              0       3.7         0       0.0         -
CHU    19391205              0       3.5         0       1.5         -
CHU    19391206              0       1.1         2       5.5         -
CHU    19391207              0       0.3         1       0.7         -
CHU    19391208              0      -3.3         0       0.0         -
CHU    19391209              0       1.2         0       1.8         -
CHU    19391210              0       2.6         0       6.2         -
CHU    19391211              0       1.7         0       2.1         -
CHU    19391212              0      -0.5         0       0.0         -
CHU    19391213              0      -1.7         0       0.0         -
CHU    19391214              0      -1.3         0       0.0         -
CHU    19391215              0      -2.3         0       0.0         -
CHU    19391216              0      -0.1         0       0.1         -
CHU    19391217              0      -1.6         0       0.0         -
CHU    19391218              0       2.8         0       0.0         -
CHU    19391219              0       3.2         0       3.6         -
CHU    19391220              0      -2.6         0       0.7         -
CHU    19391221              0      -2.3         0       0.0         -
CHU    19391222              1      -2.0         0       0.0         -
CHU    19391223              1      -2.8         0       0.0         -
CHU    19391224              1      -2.1         0       0.0         -
CHU    19391225              1      -2.5         0       0.0         -
CHU    19391226              0      -3.8         8       3.6         -
CHU    19391227              0      -2.2         5       2.8         -
CHU    19391228              0      -4.2         0       0.2         -
CHU    19391229              0      -9.5         0       0.2         -
CHU    19391230              1     -11.7         0       0.0         -
CHU    19391231              0      -5.4         0       0.1         -
CHU    19400101              0      -5.0         0       0.0         -
CHU    19400102              1      -7.5         0       0.0         -
CHU    19400103              0      -2.3         0       2.3         -
CHU    19400104              0       2.7         1       0.7         -
CHU    19400105              0       0.4         0       0.0         -
CHU    19400106              0      -0.3         0       0.0         -
CHU    19400107              0      -1.1         0       0.0         -
CHU    19400108              0       2.6         1       0.6         -
CHU    19400109              0      -1.8         1       0.7         -
CHU    19400110              0      -7.9         0       0.0         -
CHU    19400111              1     -12.1         0       0.0         -
CHU    19400112              1     -10.3         0       0.0         -
CHU    19400113              1      -7.6         0       0.0         -
CHU    19400114              1      -6.4         0       0.0         -
CHU    19400115              0      -5.7         0       0.0         -
CHU    19400116              0      -3.5         1       0.6         -
CHU    19400117              0      -6.9         3       0.3         -
CHU    19400118              0     -13.4         0       0.0         -
CHU    19400119              0     -14.2         0       0.0         -
CHU    19400120              0     -14.0         1       1.0         -
CHU    19400121              0     -10.8         0       0.0         -
CHU    19400122              0      -9.0         0       0.0         -
CHU    19400123              0      -9.0         0       0.0         -
CHU    19400124              0      -6.5         0       0.0         -
CHU    19400125              0      -6.7         0       0.0         -
CHU    19400126              0      -6.5         0       0.0         -
CHU    19400127              0      -0.7        34      32.5         -
CHU    19400128              0      -1.5        21      11.6         -
CHU    19400129              0      -3.0         6       3.4         -
CHU    19400130              0      -0.8         8       8.6         -
CHU    19400131              0       2.4         0       0.0         -
CHU    19400201              0       2.0         0       0.0         -
CHU    19400202              0       2.0         0       0.0         -
CHU    19400203              0       1.0         0       0.0         -
CHU    19400204              0       2.2         0       0.0         -
CHU    19400205              1       1.6         0       0.0         -
CHU    19400206              0       1.6         0       0.0         -
CHU    19400207              0       3.5         0       0.0         -
CHU    19400208              0       3.6         0       0.0         -
CHU    19400209              0       3.3         0       0.0         -
CHU    19400210              0      -0.2         1       0.6         -
CHU    19400211              0      -0.9         1       0.4         -
CHU    19400212              0      -3.3         2       1.7         -
CHU    19400213              0     -12.9         0       0.2         -
CHU    19400214              0     -12.8         0       0.0         -
CHU    19400215              0      -9.8         7       5.5         -
CHU    19400216              0      -6.2         0       0.0         -
CHU    19400217              0      -2.8         3       2.6         -
CHU    19400218              0      -1.4         4       2.6         -
CHU    19400219              0       0.2         5      36.6         -
CHU    19400220              0       0.3         2       4.4         -
CHU    19400221              1       1.9         0       0.0         -
CHU    19400222              1       2.3         0       0.0         -
CHU    19400223              0       4.6         0       0.0         -
CHU    19400224              0       4.4         0       0.0         -
CHU    19400225              0       4.9         0       0.0         -
CHU    19400226              0       2.8         0       0.0         -
CHU    19400227              0       6.2         0       0.0         -
CHU    19400228              0       8.0         0       0.0         -
CHU    19400229              0       7.7         0       0.0         -
CHU    19400301              0       3.8         0       0.0         -
CHU    19400302              0       0.2         0       0.0         -
CHU    19400303              0       0.5         0       0.0         -
CHU    19400304              0       2.3         0       0.0         -
CHU    19400305              0       0.9         0       0.2         -
CHU    19400306              0      -2.7         3       1.7         -
CHU    19400307              0      -2.9         1       0.6         -
CHU    19400308              0      -2.1         0       0.0         -
CHU    19400309              1      -1.2         0       0.0         -
CHU    19400310              0       2.1         0       0.0         -
CHU    19400311              1       4.7         0       0.0         -
CHU    19400312              0       6.9         0       0.0         -
CHU    19400313              0       8.5         0       1.3         -
CHU    19400314              0       6.1         0       8.0         -
CHU    19400315              1       0.8         0       0.0         -
CHU    19400316              1       1.7         0       0.0         -
CHU    19400317              0       4.5         0      21.0         -
CHU    19400318              0       7.0         0       6.8         -
CHU    19400319              0       7.6         0       1.1         -
CHU    19400320              0       7.6         0       0.0         -
CHU    19400321              0       7.2         0       0.0         -
CHU    19400322              0       8.6         0       0.5         -
CHU    19400323              0       6.6         0       0.3         -
CHU    19400324              0       9.7         0       0.0         -
CHU    19400325              0      13.1         0       1.1         -
CHU    19400326              0       9.0         0       3.6         -
CHU    19400327              0       8.0         0       2.0         -
CHU    19400328              0       1.5         0       0.0         -
CHU    19400329              0      -0.4         0       0.0         -
CHU    19400330              0       2.0         0       0.6         -
CHU    19400331              0       3.9         0       0.1         -
CHU    19400401              1       7.9         0       0.0         -
CHU    19400402              1       8.9         0       0.4         -
CHU    19400403              0       7.3         0       0.8         -
CHU    19400404              0       3.7         0      31.0         -
CHU    19400405              0       2.5         0       7.9         -
CHU    19400406              0       3.3         0       0.4         -
CHU    19400407              0       4.8         0       0.0         -
CHU    19400408              0       4.3         0       0.0         -
CHU    19400409              0       4.6         0       0.0         -
CHU    19400410              0       5.6         0       0.0         -
CHU    19400411              0       4.4         0       0.0         -
CHU    19400412              0       2.7         0       0.0         -
CHU    19400413              0       4.7         0       0.0         -
CHU    19400414              0       4.6         0       0.0         -
CHU    19400415              0       8.6         0       0.0         -
CHU    19400416              0      11.5         0       0.0         -
CHU    19400417              0      13.6         0       0.0         -
CHU    19400418              0      12.2         0       0.5         -
CHU    19400419              0       9.4         0       0.0         -
CHU    19400420              0      11.9         0       0.0         -
CHU    19400421              1      12.7         0       0.0         -
CHU    19400422              1      13.5         0       0.0         -
CHU    19400423              0      15.5         0       0.0         -
CHU    19400424              0      15.3         0       0.1         -
CHU    19400425              0      12.3         0       0.2         -
CHU    19400426              0      14.3         0       0.0         -
CHU    19400427              0      14.3         0       0.0         -
CHU    19400428              0      13.4         0       0.0         -
CHU    19400429              0      14.2         0       0.0         -
CHU    19400430              0      15.8         0       0.0         -
CHU    19400501              0      14.8         0       0.0         -
CHU    19400502              0      13.3         0       0.0         -
CHU    19400503              0      12.0         0       1.7         -
CHU    19400504              0      12.4         0       0.0         -
CHU    19400505              0      12.4         0       0.3         -
CHU    19400506              0      11.3         0       0.0         -
CHU    19400507              0      12.0         0       0.0         -
CHU    19400508              0      12.5         0       0.0         -
CHU    19400509              0      13.1         0       0.0         -
CHU    19400510              0      13.9         0       0.0         -
CHU    19400511              0      13.5         0       1.0         -
CHU    19400512              0       9.4         0       1.2         -
CHU    19400513              0      10.8         0       0.0         -
CHU    19400514              0      12.3         0       0.0         -
CHU    19400515              0      13.5         0       0.0         -
CHU    19400516              0       7.8         0       5.2         -
CHU    19400517              0       4.9         0       0.2         -
CHU    19400518              0       7.3         0       0.3         -
CHU    19400519              0      10.3         0       0.0         -
CHU    19400520              0      12.1         0       0.0         -
CHU    19400521              0      15.3         0       0.0         -
CHU    19400522              0      15.0         0       0.4         -
CHU    19400523              0      13.4         0       2.4         -
CHU    19400524              0      14.5         0       0.0         -
CHU    19400525              0      17.5         0       0.0         -
CHU    19400526              0      19.7         0       3.2         -
CHU    19400527              0      16.6         0       0.0         -
CHU    19400528              0      15.5         0       2.2         -
CHU    19400529              0       9.3         0      50.2         -
CHU    19400530              0      10.5         0      10.2         -
CHU    19400531              0      12.6         0       5.5         -
CHU    19400601              0      10.5         0       0.3         -
CHU    19400602              0      12.8         0       0.0         -
CHU    19400603              1      14.3         0       0.0         -
CHU    19400604              0      15.9         0       0.0         -
CHU    19400605              1      17.5         0       0.0         -
CHU    19400606              0      15.7         0       1.4         -
CHU    19400607              0      14.7         0       0.4         -
CHU    19400608              1      18.1         0       0.0         -
CHU    19400609              1      19.0         0       0.0         -
CHU    19400610              0      19.3         0       0.0         -
CHU    19400611              0      19.6         0       0.2         -
CHU    19400612              0      17.1         0       3.6         -
CHU    19400613              0      14.9         0       3.9         -
CHU    19400614              0      14.7         0       9.3         -
CHU    19400615              0      15.8         0       8.0         -
CHU    19400616              0      13.9         0       2.8         -
CHU    19400617              0      14.4         0       2.9         -
CHU    19400618              0      16.3         0       0.0         -
CHU    19400619              0      15.2         0      14.5         -
CHU    19400620              0      16.3         0       4.0         -
CHU    19400621              0      17.4         0       5.4         -
CHU    19400622              0      18.6         0       0.0         -
CHU    19400623              0      19.2         0       0.0         -
CHU    19400624              0      17.5         0       0.0         -
CHU    19400625              0      10.6         0      38.4         -
CHU    19400626              0      13.0         0       1.4         -
CHU    19400627              0      12.1         0       1.5         -
CHU    19400628              0      12.8         0       0.0         -
CHU    19400629              0      15.1         0       0.0         -
CHU    19400630              0      16.3         0       0.0         -
CHU    19400701              0      19.5         0       0.0         -
CHU    19400702              0      19.4         0       0.0         -
CHU    19400703              0      19.4         0       3.4         -
CHU    19400704              0      14.1         0      18.0         -
CHU    19400705              0      15.5         0       0.0         -
CHU    19400706              0      19.0         0       6.2         -
CHU    19400707              0      16.8         0      32.8         -
CHU    19400708              0      13.7         0       6.4         -
CHU    19400709              0      13.9         0       0.0         -
CHU    19400710              1      16.0         0       0.0         -
CHU    19400711              0      18.0         0      19.8         -
CHU    19400712              0      11.1         0       0.2         -
CHU    19400713              0      13.5         0       0.0         -
CHU    19400714              0      17.5         0       0.0         -
CHU    19400715              0      20.1         0       4.6         -
CHU    19400716              0       9.9         0      30.0         -
CHU    19400717              0      14.8         0       1.5         -
CHU    19400718              0      14.9         0       5.8         -
CHU    19400719              0      16.9         0       0.0         -
CHU    19400720              0      19.5         0       5.0         -
CHU    19400721              0      17.5         0       1.8         -
CHU    19400722              0      15.7         0       7.6         -
CHU    19400723              0      16.2         0       3.9         -
CHU    19400724              0      18.1         0       1.4         -
CHU    19400725              0      19.8         0       0.0         -
CHU    19400726              0      19.6         0      11.8         -
CHU    19400727              0      16.5         0       1.0         -
CHU    19400728              0      14.9         0       0.0         -
CHU    19400729              1      13.8         0       0.0         -
CHU    19400730              0      14.4         0       0.0         -
CHU    19400731              0      15.8         0       0.0         -
CHU    19400801              0      16.8         0       0.0         -
CHU    19400802              0      18.0         0       0.0         -
CHU    19400803              1      18.0         0       0.0         -
CHU    19400804              0      19.2         0       0.0         -
CHU    19400805              0      20.5         0       0.9         -
CHU    19400806              0      19.0         0       0.0         -
CHU    19400807              0      19.7         0       0.0         -
CHU    19400808              0      19.6         0       0.0         -
CHU    19400809              1      20.4         0       0.0         -
CHU    19400810              0      17.8         0       7.8         -
CHU    19400811              0      18.9         0       0.0         -
CHU    19400812              0      16.5         0       0.0         -
CHU    19400813              0      16.6         0       0.0         -
CHU    19400814              0      15.4         0       0.0         -
CHU    19400815              0      16.9         0       1.0         -
CHU    19400816              0      17.2         0       0.0         -
CHU    19400817              0      14.9         0       0.0         -
CHU    19400818              1      16.0         0       0.0         -
CHU    19400819              0      17.6         0       7.0         -
CHU    19400820              0      12.2         0       0.0         -
CHU    19400821              0      12.8         0      12.3         -
CHU    19400822              0       8.8         0      17.0         -
CHU    19400823              0      11.3         0       4.5         -
CHU    19400824              0       9.2         0       0.0         -
CHU    19400825              1       9.8         0       0.0         -
CHU    19400826              1      14.4         0       0.0         -
CHU    19400827              1      17.5         0       0.0         -
CHU    19400828              0      15.7         0       6.0         -
CHU    19400829              0      16.9         0       0.0         -
CHU    19400830              0      12.1         0       0.3         -
CHU    19400831              1      11.1         0       0.0         -
CHU    19400901              1      14.8         0       0.0         -
CHU    19400902              1      16.7         0       0.0         -
CHU    19400903              1      17.5         0       0.0         -
CHU    19400904              1      17.0         0       0.0         -
CHU    19400905              1      17.8         0       0.0         -
CHU    19400906              1      18.2         0       0.0         -
CHU    19400907              1      18.5         0       0.0         -
CHU    19400908              0      18.5         0       1.0         -
CHU    19400909              0      12.7         0      54.4         -
CHU    19400910              0       5.9         0      27.0         -
CHU    19400911              0       8.4         0       6.4         -
CHU    19400912              0       8.6         0       0.0         -
CHU    19400913              0      11.1         0       0.2         -
CHU    19400914              0      11.6         0      11.5         -
CHU    19400915              0      10.9         0      10.6         -
CHU    19400916              0      12.0         0       0.1         -
CHU    19400917              1      14.2         0       0.0         -
CHU    19400918              0      14.8         0       0.0         -
CHU    19400919              0      17.2         0       0.0         -
